county,county_fips,evacuation_type,cbg_fips
brazoria,48039,voluntary,480396645015
brazoria,48039,voluntary,480399900000
chambers,48071,mandatory,480717101001
chambers,48071,mandatory,480717101002
chambers,48071,mandatory,480717101003
chambers,48071,mandatory,480717102001
chambers,48071,mandatory,480717102002
chambers,48071,mandatory,480717102003
chambers,48071,mandatory,480717102004
chambers,48071,mandatory,480717102005
chambers,48071,mandatory,480717103001
chambers,48071,mandatory,480717103002
chambers,48071,mandatory,480717103003
chambers,48071,mandatory,480717104011
chambers,48071,mandatory,480717104012
chambers,48071,mandatory,480717104013
chambers,48071,mandatory,480717104014
chambers,48071,mandatory,480717105001
chambers,48071,mandatory,480717105002
chambers,48071,mandatory,480717105003
chambers,48071,mandatory,480717106001
chambers,48071,mandatory,480719900000
galveston,48167,mandatory,481677201001
galveston,48167,mandatory,481677201002
galveston,48167,mandatory,481677201003
galveston,48167,mandatory,481677202001
galveston,48167,mandatory,481677202002
galveston,48167,mandatory,481677202003
galveston,48167,mandatory,481677203011
galveston,48167,mandatory,481677203012
galveston,48167,mandatory,481677203021
galveston,48167,mandatory,481677203022
galveston,48167,mandatory,481677203023
galveston,48167,mandatory,481677204001
galveston,48167,mandatory,481677204002
galveston,48167,mandatory,481677205011
galveston,48167,mandatory,481677205012
galveston,48167,mandatory,481677205021
galveston,48167,mandatory,481677205022
galveston,48167,mandatory,481677205023
galveston,48167,mandatory,481677205031
galveston,48167,mandatory,481677205032
galveston,48167,mandatory,481677205033
galveston,48167,mandatory,481677206001
galveston,48167,mandatory,481677206002
galveston,48167,mandatory,481677207001
galveston,48167,mandatory,481677207002
galveston,48167,mandatory,481677207003
galveston,48167,mandatory,481677208001
galveston,48167,mandatory,481677208002
galveston,48167,mandatory,481677208003
galveston,48167,mandatory,481677208004
galveston,48167,mandatory,481677209001
galveston,48167,mandatory,481677209002
galveston,48167,mandatory,481677209003
galveston,48167,mandatory,481677209004
galveston,48167,mandatory,481677210001
galveston,48167,mandatory,481677211001
galveston,48167,mandatory,481677211002
galveston,48167,mandatory,481677211003
galveston,48167,mandatory,481677211004
galveston,48167,mandatory,481677212011
galveston,48167,mandatory,481677212012
galveston,48167,mandatory,481677212013
galveston,48167,mandatory,481677212014
galveston,48167,mandatory,481677212015
galveston,48167,mandatory,481677212021
galveston,48167,mandatory,481677213001
galveston,48167,mandatory,481677213002
galveston,48167,mandatory,481677213003
galveston,48167,mandatory,481677213004
galveston,48167,mandatory,481677214001
galveston,48167,mandatory,481677214002
galveston,48167,mandatory,481677214003
galveston,48167,mandatory,481677215001
galveston,48167,mandatory,481677215002
galveston,48167,mandatory,481677215003
galveston,48167,mandatory,481677215004
galveston,48167,mandatory,481677216001
galveston,48167,mandatory,481677217001
galveston,48167,mandatory,481677217002
galveston,48167,mandatory,481677217003
galveston,48167,mandatory,481677217004
galveston,48167,mandatory,481677217005
galveston,48167,mandatory,481677217006
galveston,48167,mandatory,481677218001
galveston,48167,mandatory,481677218002
galveston,48167,mandatory,481677218003
galveston,48167,mandatory,481677218004
galveston,48167,mandatory,481677219001
galveston,48167,mandatory,481677219002
galveston,48167,mandatory,481677219003
galveston,48167,mandatory,481677220011
galveston,48167,mandatory,481677220012
galveston,48167,mandatory,481677220013
galveston,48167,mandatory,481677220021
galveston,48167,mandatory,481677220022
galveston,48167,mandatory,481677220023
galveston,48167,mandatory,481677221001
galveston,48167,mandatory,481677221002
galveston,48167,mandatory,481677221003
galveston,48167,mandatory,481677221004
galveston,48167,mandatory,481677221005
galveston,48167,mandatory,481677221006
galveston,48167,mandatory,481677222001
galveston,48167,mandatory,481677222002
galveston,48167,mandatory,481677222003
galveston,48167,mandatory,481677222004
galveston,48167,mandatory,481677223001
galveston,48167,mandatory,481677223002
galveston,48167,mandatory,481677223003
galveston,48167,mandatory,481677223004
galveston,48167,mandatory,481677223005
galveston,48167,mandatory,481677223006
galveston,48167,mandatory,481677226001
galveston,48167,mandatory,481677227001
galveston,48167,mandatory,481677227002
galveston,48167,mandatory,481677227003
galveston,48167,mandatory,481677227004
galveston,48167,mandatory,481677228001
galveston,48167,mandatory,481677228002
galveston,48167,mandatory,481677229001
galveston,48167,mandatory,481677229002
